"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"INVESTMENT","2024-04-25","73.94","74.3","73.4","73.62","-0.31 %","71,689,887.50","-"
"INVESTMENT","2024-04-24","74.03","74.51","73.68","73.85","-0.24 %","62,030,438.40","-"
"INVESTMENT","2024-04-22","74.03","74.8","73.92","74.03","-0.60 %","55,754,331.90","-"
"INVESTMENT","2024-04-21","73.85","74.66","73.37","74.48","0.85 %","63,162,074.70","-"
"INVESTMENT","2024-04-18","74.49","74.49","73.76","73.85","-0.86 %","55,007,114.30","-"
"INVESTMENT","2024-04-16","74.42","74.92","74.39","74.49","-0.60 %","60,542,372.90","-"
"INVESTMENT","2024-04-15","75.17","75.38","74.73","74.94","-0.31 %","91,696,586.30","-"
"INVESTMENT","2024-04-14","75.79","75.97","75.1","75.17","-0.82 %","74,830,857.90","-"
"INVESTMENT","2024-04-10","76.1","76.33","75.37","75.79","-0.41 %","85,440,098.40","-"
"INVESTMENT","2024-04-09","75.57","76.33","75.57","76.1","0.70 %","109,731,691.30","-"
"INVESTMENT","2024-04-07","75.76","75.75","75.13","75.57","0.60 %","82,453,583.30","-"
"INVESTMENT","2024-04-04","75.36","75.68","75.08","75.12","-0.32 %","76,460,466.00","-"
"INVESTMENT","2024-04-03","75.45","75.95","75.1","75.36","-0.19 %","78,546,783.90","-"
"INVESTMENT","2024-04-02","75.47","75.88","75.39","75.5","0.05 %","65,179,234.70","-"
"INVESTMENT","2024-04-01","75.55","76.29","75.29","75.46","-0.51 %","97,971,208.10","-"
"INVESTMENT","2024-03-31","76.32","76.65","75.78","75.85","-0.80 %","159,246,448.10","-"
"INVESTMENT","2024-03-28","75.61","76.85","75.57","76.46","0.83 %","110,200,898.80","-"
"INVESTMENT","2024-03-27","76.41","77.28","75.77","75.83","-0.68 %","68,271,190.60","-"
"INVESTMENT","2024-03-26","76.01","76.59","75.76","76.35","0.45 %","88,688,854.20","-"
"INVESTMENT","2024-03-25","76.29","76.71","75.79","76.01","-0.37 %","75,846,047.90","-"
"INVESTMENT","2024-03-21","77.02","77.18","76.26","76.29","-0.75 %","92,558,940.10","-"
"INVESTMENT","2024-03-20","77.31","77.62","76.69","76.87","-0.38 %","85,489,699.50","-"
"INVESTMENT","2024-03-19","77.63","78.22","77.08","77.16","-0.41 %","89,964,268.00","-"
"INVESTMENT","2024-03-18","77.95","78.23","77.3","77.48","-0.45 %","89,060,783.60","-"
"INVESTMENT","2024-03-17","78.46","78.73","77.46","77.83","-0.60 %","122,691,369.90","-"
"INVESTMENT","2024-03-14","79.52","79.57","78.18","78.3","-1.34 %","147,123,753.50","-"
"INVESTMENT","2024-03-13","79.73","80.04","78.47","79.36","-0.08 %","168,964,872.40","-"
"INVESTMENT","2024-03-12","79.06","79.72","78.16","79.42","1.87 %","244,007,215.10","-"
"INVESTMENT","2024-03-10","76.99","78.46","76.99","77.96","1.26 %","160,985,360.90","-"
"INVESTMENT","2024-03-07","76.69","77.89","76.68","76.99","0.46 %","181,684,342.80","-"
"INVESTMENT","2024-03-06","76.32","77.48","75.43","76.64","0.42 %","195,279,253.80","-"
"INVESTMENT","2024-03-05","79.45","79.45","76.06","76.32","-3.48 %","223,615,658.10","-"
"INVESTMENT","2024-03-04","75.72","79.09","75.71","79.07","6.39 %","22,526,986.90","-"
"INVESTMENT","2024-03-03","74.73","75.06","73.77","74.32","-0.54 %","112,020,650.30","-"
"INVESTMENT","2024-02-29","75.9","76.49","74.65","74.72","-1.54 %","167,186,443.70","-"
"INVESTMENT","2024-02-28","75.11","77.39","74.7","75.89","1.05 %","115,786,010.30","-"
"INVESTMENT","2024-02-27","75.17","75.55","74.56","75.1","-0.08 %","80,788,437.70","-"
"INVESTMENT","2024-02-26","74.58","75.39","74.29","75.16","0.97 %","101,560,945.40","-"
"INVESTMENT","2024-02-25","75.87","76.08","74.35","74.44","-1.87 %","142,153,935.90","-"
"INVESTMENT","2024-02-22","77.06","77.4","75.84","75.86","-1.54 %","189,269,030.10","-"
"INVESTMENT","2024-02-21","77.44","78.07","76.99","77.05","-0.50 %","114,199,176.20","-"
"INVESTMENT","2024-02-20","77.3","78.18","76.9","77.44","0.18 %","171,654,298.10","-"
"INVESTMENT","2024-02-18","78.82","78.81","77.21","77.3","-1.54 %","207,561,082.30","-"
"INVESTMENT","2024-02-15","78.82","79.35","78.34","78.51","-0.58 %","170,902,635.60","-"
"INVESTMENT","2024-02-14","79.08","79.74","78.58","78.97","-0.20 %","177,108,621.70","-"
"INVESTMENT","2024-02-13","80.95","80.95","78.98","79.13","-2.07 %","215,307,063.40","-"
"INVESTMENT","2024-02-12","79.65","81.04","79.54","80.8","1.24 %","262,114,441.50","-"
"INVESTMENT","2024-02-11","79.87","80.97","79.74","79.81","-0.27 %","286,797,020.30","-"
"INVESTMENT","2024-02-08","79.96","80.33","79.55","80.03","0.16 %","181,698,256.90","-"
"INVESTMENT","2024-02-07","79.8","81.06","79.57","79.9","0.39 %","152,147,333.90","-"
"INVESTMENT","2024-02-06","79.43","80.35","79.29","79.59","0.21 %","165,717,358.90","-"
"INVESTMENT","2024-02-05","78.88","79.79","78.87","79.42","0.49 %","179,900,605.10","-"
"INVESTMENT","2024-02-04","78.8","79.77","78.37","79.03","0.10 %","253,618,938.80","-"
"INVESTMENT","2024-02-01","80.27","80.26","78.68","78.95","-1.29 %","245,805,352.60","-"
"INVESTMENT","2024-01-31","80.73","81.72","79.72","79.98","-1.30 %","511,533,362.70","-"
"INVESTMENT","2024-01-30","80.51","81.69","80.51","81.03","0.65 %","297,119,902.70","-"
"INVESTMENT","2024-01-29","79.7","81.23","79.57","80.51","0.98 %","392,556,160.00","-"
"INVESTMENT","2024-01-28","79","80.31","78.85","79.73","0.94 %","313,171,902.90","-"
"INVESTMENT","2024-01-25","79.19","80.6","78.77","78.99","-0.63 %","257,487,050.40","-"
"INVESTMENT","2024-01-24","81.15","81.71","79.29","79.49","-1.65 %","355,984,623.50","-"
"INVESTMENT","2024-01-23","80.22","81.69","80.12","80.82","0.36 %","352,242,933.20","-"
"INVESTMENT","2024-01-22","81.74","83.02","80.18","80.53","-1.85 %","451,190,180.30","-"
"INVESTMENT","2024-01-21","83.41","84.07","81.87","82.05","-1.96 %","506,810,508.60","-"
"INVESTMENT","2024-01-18","84.92","84.94","83.01","83.69","-0.76 %","493,670,374.90","-"
"INVESTMENT","2024-01-17","85.68","86.92","84.12","84.33","-1.28 %","802,843,920.70","-"
"INVESTMENT","2024-01-16","82.42","85.65","82.4","85.42","3.72 %","750,484,991.20","-"
"INVESTMENT","2024-01-14","81.52","82.45","81.48","82.36","1.24 %","347,613,337.40","-"
"INVESTMENT","2024-01-11","81.85","83.05","81.1","81.35","-0.87 %","348,400,041.00","-"
"INVESTMENT","2024-01-10","82.84","84","81.73","82.06","-0.64 %","495,101,111.50","-"
"INVESTMENT","2024-01-09","81.44","84.38","81.43","82.59","1.25 %","573,044,727.60","-"
"INVESTMENT","2024-01-08","79.49","81.85","79.37","81.57","2.60 %","531,991,729.80","-"
"INVESTMENT","2024-01-07","80.67","81.45","79.4","79.5","-1.94 %","519,599,572.20","-"
"INVESTMENT","2024-01-04","80.29","82.92","80.29","81.07","1.11 %","543,029,858.00","-"
"INVESTMENT","2024-01-03","78.5","80.33","77.94","80.18","2.14 %","430,332,549.90","-"
"INVESTMENT","2024-01-02","78.8","79.65","78.01","78.5","-0.19 %","455,443,145.50","-"
"INVESTMENT","2024-01-01","77.95","80.14","77.89","78.65","1.08 %","449,607,405.00","-"
"INVESTMENT","2023-12-28","76.96","78.61","76.95","77.81","0.74 %","265,290,408.40","-"
"INVESTMENT","2023-12-27","78.32","80.27","76.52","77.24","-1.57 %","391,518,825.90","-"
"INVESTMENT","2023-12-24","81.55","82.24","78.33","78.47","-3.89 %","632,733,250.30","-"
"INVESTMENT","2023-12-21","83.47","84.82","81.04","81.65","-1.64 %","526,326,609.70","-"
"INVESTMENT","2023-12-20","77.63","83.98","78.09","83.01","6.93 %","553,504,525.40","-"
"INVESTMENT","2023-12-19","75.9","77.68","75.71","77.63","2.43 %","339,084,724.90","-"
"INVESTMENT","2023-12-18","73.68","76.42","73.56","75.79","3.12 %","293,952,908.30","-"
"INVESTMENT","2023-12-17","71.12","73.56","70.31","73.5","3.13 %","251,111,256.10","-"
"INVESTMENT","2023-12-14","71.35","71.89","70.68","71.27","-0.17 %","176,504,286.50","-"
"INVESTMENT","2023-12-13","71.3","73.23","71.08","71.39","0.44 %","201,742,933.90","-"
"INVESTMENT","2023-12-12","70.51","71.63","69.65","71.21","2.01 %","193,182,529.20","-"
"INVESTMENT","2023-12-11","71.97","72.12","69.52","69.81","-1.36 %","253,998,011.70","-"
"INVESTMENT","2023-12-10","66.73","70.83","66.73","70.77","6.50 %","24,490,318.90","-"
"INVESTMENT","2023-12-07","65.9","66.63","65.83","66.45","0.83 %","114,351,352.60","-"
"INVESTMENT","2023-12-06","65.83","66.1","65.56","65.9","0.02 %","64,046,693.80","-"
"INVESTMENT","2023-12-05","66.25","66.59","64.91","65.89","-0.53 %","117,325,390.60","-"
"INVESTMENT","2023-12-04","66.52","66.7","66.1","66.24","-0.45 %","56,325,230.80","-"
"INVESTMENT","2023-12-03","66.82","66.81","65.9","66.54","-0.36 %","64,847,568.40","-"
"INVESTMENT","2023-11-30","67.36","67.37","66.38","66.78","-0.86 %","51,711,193.90","-"
"INVESTMENT","2023-11-29","67.64","68.88","67.08","67.36","-0.41 %","51,954,462.10","-"
"INVESTMENT","2023-11-28","67.8","68.04","67.4","67.64","-0.24 %","51,096,010.00","-"
"INVESTMENT","2023-11-27","67.75","68.41","67.44","67.8","0.49 %","71,214,665.70","-"
"INVESTMENT","2023-11-26","66.21","67.72","65.95","67.47","1.92 %","103,098,742.40","-"
"INVESTMENT","2023-11-23","65.87","66.69","65.3","66.2","0.41 %","68,058,788.00","-"
"INVESTMENT","2023-11-22","65.05","66.15","64.55","65.93","1.27 %","78,773,398.90","-"
"INVESTMENT","2023-11-21","65.26","65.73","64.64","65.1","-0.58 %","53,196,587.20","-"
"INVESTMENT","2023-11-20","65.02","66.6","64.99","65.48","0.74 %","58,410,516.40","-"
"INVESTMENT","2023-11-09","65.37","65.62","64.76","65","-0.64 %","56,876,455.00","-"
"INVESTMENT","2023-11-08","65.71","65.75","65.12","65.42","-0.44 %","36,738,836.50","-"
"INVESTMENT","2023-11-07","64.73","65.82","64.61","65.71","1.51 %","57,621,763.40","-"
"INVESTMENT","2023-11-06","63.88","64.91","63.73","64.73","1.39 %","57,425,255.50","-"
"INVESTMENT","2023-11-05","64.55","64.61","63.69","63.84","-1.18 %","45,211,702.50","-"
"INVESTMENT","2023-11-02","64.73","65","64.53","64.6","-0.26 %","55,245,716.90","-"
"INVESTMENT","2023-11-01","64.72","65.12","64.55","64.77","0.08 %","41,171,182.20","-"
"INVESTMENT","2023-10-31","65.15","65.26","64.43","64.72","-0.60 %","26,604,142.90","-"
"INVESTMENT","2023-10-30","64.92","65.26","64.35","65.11","0.26 %","36,935,220.90","-"
"INVESTMENT","2023-10-29","66.02","66.02","64.72","64.94","-1.64 %","62,166,101.20","-"
"INVESTMENT","2023-10-19","65.91","66.3","65.41","66.02","0.18 %","42,344,549.50","-"
"INVESTMENT","2023-10-18","64.44","66.11","64.43","65.9","2.23 %","47,658,510.10","-"
"INVESTMENT","2023-10-17","64.13","65.63","63.94","64.46","0.45 %","70,524,745.80","-"
"INVESTMENT","2023-10-16","65.06","65.15","64.04","64.17","-1.29 %","101,841,006.80","-"
"INVESTMENT","2023-10-12","65.49","65.76","64.95","65.01","-0.66 %","82,762,842.60","-"
"INVESTMENT","2023-10-11","65.43","66.13","65.28","65.44","0.02 %","28,594,589.70","-"
"INVESTMENT","2023-10-10","65.8","66.36","65.22","65.43","-0.61 %","46,116,027.90","-"
"INVESTMENT","2023-10-09","66.08","66.66","65.46","65.83","-0.36 %","51,844,553.40","-"
"INVESTMENT","2023-10-08","67.91","67.91","66.03","66.07","-2.02 %","80,086,673.70","-"
"INVESTMENT","2023-10-05","67.76","68.01","67.34","67.43","-0.47 %","44,828,610.60","-"
"INVESTMENT","2023-10-04","67.52","68.49","67.51","67.75","0.36 %","27,933,872.70","-"
"INVESTMENT","2023-10-03","68.16","68.16","67.5","67.51","-0.95 %","44,641,184.50","-"
"INVESTMENT","2023-10-02","68.13","68.45","67.65","68.16","0.04 %","42,918,389.20","-"
"INVESTMENT","2023-10-01","69.41","69.4","67.86","68.13","-1.43 %","54,937,423.70","-"
"INVESTMENT","2023-09-27","69.99","70.16","68.9","69.12","-1.23 %","97,195,244.30","-"
"INVESTMENT","2023-09-26","69.21","70.16","68.86","69.98","1.11 %","95,092,296.50","-"
"INVESTMENT","2023-09-25","69.88","69.91","69.15","69.21","-0.94 %","40,476,974.50","-"
"INVESTMENT","2023-09-24","70.38","71.59","69.78","69.87","-1.63 %","63,858,690.60","-"
"INVESTMENT","2023-09-21","69.38","71.72","69.37","71.03","2.50 %","106,025,777.20","-"
"INVESTMENT","2023-09-19","69.01","69.43","68.34","69.3","0.79 %","36,832,310.00","-"
"INVESTMENT","2023-09-18","68.67","68.93","68.08","68.76","0.15 %","38,931,214.40","-"
"INVESTMENT","2023-09-17","69.93","70.06","68.54","68.66","-1.93 %","51,622,514.00","-"
"INVESTMENT","2023-09-13","68.84","70.09","68.75","70.01","1.70 %","41,756,965.80","-"
"INVESTMENT","2023-09-12","69.81","70.02","68.8","68.84","-1.30 %","49,205,265.20","-"
"INVESTMENT","2023-09-11","68.62","69.75","68.16","69.75","2.02 %","39,164,582.60","-"
"INVESTMENT","2023-09-10","68.17","68.78","68.06","68.37","0.31 %","26,589,998.00","-"
"INVESTMENT","2023-09-07","68.96","68.98","68.1","68.16","-1.20 %","38,086,197.90","-"
"INVESTMENT","2023-09-05","68.87","69.37","68.69","68.99","-0.22 %","31,300,287.70","-"
"INVESTMENT","2023-09-04","69.11","69.89","68.66","69.14","0.06 %","45,208,039.90","-"
"INVESTMENT","2023-09-03","70.33","70.33","69.09","69.1","-1.38 %","45,340,771.30","-"
"INVESTMENT","2023-08-30","69.91","70.48","69.86","70.07","-0.19 %","29,949,288.20","-"
"INVESTMENT","2023-08-29","70.12","70.34","69.58","70.2","0.13 %","36,066,696.40","-"
"INVESTMENT","2023-08-28","69.91","70.4","69.68","70.11","0.30 %","41,040,842.10","-"
"INVESTMENT","2023-08-27","70.37","70.53","69.49","69.9","-0.65 %","47,519,345.50","-"
"INVESTMENT","2023-08-24","71.26","71.61","70.29","70.36","-1.21 %","43,552,471.30","-"
"INVESTMENT","2023-08-23","70.19","71.57","70.02","71.25","1.52 %","57,206,040.80","-"
"INVESTMENT","2023-08-22","69.42","70.22","69.42","70.18","0.85 %","32,801,507.40","-"
"INVESTMENT","2023-08-21","70.12","70.65","69.36","69.59","-0.76 %","62,456,513.90","-"
"INVESTMENT","2023-08-20","71.05","71.2","69.88","70.12","-0.97 %","83,165,932.40","-"
"INVESTMENT","2023-08-17","70.66","71.6","70.55","70.81","0.21 %","54,980,500.20","-"
"INVESTMENT","2023-08-16","71.01","71.1","69.87","70.66","-0.49 %","94,940,727.50","-"
"INVESTMENT","2023-08-15","71.82","72.34","70.87","71.01","-1.14 %","83,171,128.30","-"
"INVESTMENT","2023-08-14","72.01","72.66","71.8","71.83","-0.24 %","56,098,093.70","-"
"INVESTMENT","2023-08-13","71.7","72.48","71.43","72","0.42 %","86,038,563.10","-"
"INVESTMENT","2023-08-10","71.57","72.32","70.98","71.7","0.18 %","95,349,868.60","-"
"INVESTMENT","2023-08-09","70.3","71.62","69.6","71.57","1.73 %","102,485,115.50","-"
"INVESTMENT","2023-08-08","70.63","71.53","69.99","70.35","-0.72 %","102,287,056.80","-"
"INVESTMENT","2023-08-07","70.9","71.81","70.59","70.86","-0.04 %","79,234,846.20","-"
"INVESTMENT","2023-08-06","71.81","72.41","70.58","70.89","-1.23 %","92,002,805.40","-"
"INVESTMENT","2023-08-03","71.66","72.39","71.51","71.77","0.15 %","128,475,713.70","-"
"INVESTMENT","2023-08-02","71.65","71.95","70.96","71.66","0.01 %","57,632,002.00","-"
"INVESTMENT","2023-08-01","72.3","73.02","71.42","71.65","-0.98 %","90,337,025.50","-"
"INVESTMENT","2023-07-31","72.26","73.12","72.25","72.36","0.14 %","81,022,851.10","-"
"INVESTMENT","2023-07-30","72.64","73.44","72.18","72.26","-0.81 %","84,298,897.80","-"
